name,latitude,longitude,type,category,rating,ratings_count,description,image_urls,source
Mallipotha Tank - මාලිප්පොත වැව,7.147922899999998,81.167884,attraction,tourist_attraction,3.8,26,"45X9+556, Kiriwandeniya Road, Rambukkana",[],google
Porawagala Viewpoint,6.8301766,81.0127674,attraction,tourist_attraction,4.4,374,"Mahaulpatha, Galkanda, Bandarawela",[],google
Ravana's Cave,6.8644786,81.04864169999999,attraction,tourist_attraction,4.0,1565,"V27X+QFR, Ella",[],google
Uva Halpewatte Tea Factory Tour,6.8892883,81.0345068,attraction,tourist_attraction,4.6,1531,"Uva Halpewatte Tea Factory, Badulla Road, Hela Halpe, Ella, Sri Lanka",[],google
Piduruthalagala Conservation Forest,7.0216667,80.7561111,attraction,tourist_attraction,4.6,1067,"2QC4+MC9, Nuwara Eliya",[],google
Muthiyangana Raja Maha Vihara,6.9842184,81.0613561,attraction,tourist_attraction,4.7,3347,"X3M6+MGQ, Station Road, Badulla",[],google
Devon Falls,6.951407700000001,80.6300174,attraction,tourist_attraction,4.6,909,"XJ2J+H26, Nawalapitiya - Dimbula Road",[],google
Weli Oya Bridge,6.767487599999999,80.8468142,attraction,tourist_attraction,4.6,70,"QR8W+XPW, Walhaputenna",[],google
Cinnamon Nature Trails,6.929325,79.84968800000001,attraction,tourist_attraction,4.3,23,"WRHX+PVP, Colombo",[],google
Summerside Residence,7.248349600000001,79.84509779999999,attraction,tourist_attraction,4.3,331,"84 Station Road, Palangathure, Negombo",[],google
Korathota Royal Temple,6.915038,80.0021349,attraction,tourist_attraction,4.7,1203,"W282+2V6, B174",[],google
Sri Aanjaneyar Temple,6.8673147,79.8661651,attraction,hindu_temple,4.6,630,"112a Sri Saranankara Road, Dehiwala-Mount Lavinia",[],google
Sambodhi Pagoda Temple,6.9383932,79.8420285,attraction,tourist_attraction,4.6,403,"WRQR+9R2, Chaithya Road, Colombo",[],google
Christian Reformed Church of Sri Lanka,6.942084799999999,79.859072,attraction,tourist_attraction,4.1,86,"WVR5+RJP, Wolfendhal Lane, Colombo",[],google
Manelwatta Temple,6.944921099999998,79.9513614,attraction,tourist_attraction,4.6,1719,"WXW2+52M, Bollegala, Kalaniya,Sri Lanka",[],google
Bellanwila Rajamaha Viharaya,6.8460686,79.8899933,attraction,tourist_attraction,4.8,8794,"Dehiwala Road, Boralesgamuwa",[],google
St. Mary's Church,7.210452999999999,79.8372024,attraction,tourist_attraction,4.7,1281,"Main Street, No.100 Grand Street, Negombo",[],google
Dilra Tours (OPEN),7.1020365,79.9099821,attraction,tourist_attraction,4.6,29,"Orexcity shopping complex, Ja-Ela",[],google
JourneyScapes Travel,6.857984699999999,79.8636106,attraction,tourist_attraction,4.6,52,"No 08 2nd Lane, Dehiwala-Mount Lavinia",[],google
Kotte Rajamaha Vihara,6.881008100000001,79.9047497,attraction,tourist_attraction,4.7,1606,"Mirihana South, Sri Jayawardenepura Kotte",[],google
Daffodils Beach Negombo,7.238267,79.8430534,attraction,tourist_attraction,4.2,25,"31, Judes Mawatha Off, Beach Road, Negombo",[],google
Excel World Entertainment Park,6.922451499999999,79.8612151,attraction,tourist_attraction,3.9,8065,"338 T. B. Jayah Mawatha, Colombo",[],google
Galabedda Biso Pond ගලබැද්ද බිසෝ පොකුණ,6.91683,81.38750449999999,attraction,tourist_attraction,4.5,187,Colombo - Batticaloa Highway,[],google
Āriapāla Mask Museum,6.241271800000001,80.0506997,attraction,museum,4.3,1059,"426 Main Street, Ambalangoda",[],google
Handagedara Resort & Spa,5.9460481,80.45324260000001,attraction,tourist_attraction,4.4,377,"81740 Harbour Road, Mirissa",[],google
Srī Vijayārāma Ancient Temple,6.245268599999999,80.0575088,attraction,tourist_attraction,4.7,161,"63W5+422, Dhirakkanda Buddhist Temple, Dhirakkanda Mawatha, Kaluwadumulla, Ambalangada., Ambalangoda",[],google
Mahamevnawa Buddhist Monastery - Galle | මහමෙව්නාව භාවනා අසපුව - ගාල්ල,6.041376999999999,80.2737836,attraction,tourist_attraction,4.7,215,"melegoda, Wanchawala",[],google
Hotel Hasara,6.0493841,80.2062607,attraction,tourist_attraction,3.8,1035,"1 Wakunugoda Road, ගාල්ල",[],google
Lunuganga,6.403383799999999,80.02187909999999,attraction,tourist_attraction,4.5,862,"Dedduwa, Bentota",[],google
Sinharaja Forest Reserve,6.406990800000001,80.46002659999999,attraction,tourist_attraction,4.6,2159,Sri Lanka,[],google
Hotel Nawathana,5.943861900000001,80.54575659999999,attraction,tourist_attraction,4.2,264,"No.15, Sri Dharmarama, Mawatha, Matara",[],google
The Long Beach Resort,5.990508000000001,80.31938199999999,attraction,tourist_attraction,3.8,1930,"The Long Beach Resort, මාතර පාර, කොග්ගල",[],google
YOGA REIKI MEDITATION,7.2995129,80.6484139,attraction,tourist_attraction,5.0,19,"142/5A Dharmashoka Mawatha, Kandy",[],google
Rajanima Craft (Pvt) Ltd,7.284680200000001,80.6434498,attraction,tourist_attraction,4.0,55,"173 Rajapihilla Mawatha, Kandy",[],google
Old Royal Palace,7.2947862,80.6410831,attraction,museum,4.5,148,"15 Raja Veediya, Kandy",[],google
Angammedilla National Park,7.925445299999999,80.92077370000001,attraction,tourist_attraction,4.4,208,"WWGC+58C, Diyabeduma",[],google
Bowatenna Reservoir | බෝවතැන්න ජලාශය,7.671418199999998,80.6668997,attraction,tourist_attraction,4.6,20,"MMC8+HQ6, Arangala",[],google
Sigiri Jungle Resort,7.939288,80.740802,attraction,tourist_attraction,5.0,3,"WPQR+P87, Polonnaruwa, Mahasengama, Sigiriya, Sigiriya",[],google
Gimanhala Hotel,7.879958,80.650618,attraction,tourist_attraction,4.0,1288,"Jaffna - Kandy Highway, 754 Anuradhapura Road, Dambulla",[],google
Hotel Mahanuge,7.957742899999999,80.9966997,attraction,tourist_attraction,4.1,706,26th Mile Post,[],google
Nalanda Gedige,7.669748599999999,80.645856,attraction,hindu_temple,4.6,1571,"MJ9W+V8X, Gedige Road, Matale",[],google
Martin Wickramasinghe Folk Museum,5.989937,80.328019,attraction,museum,4.6,1232,"Matara Road, Koggala",[],google
Hikkaduwa Lagoon Safari and Adventure kayaking,6.1033254,80.1268865,attraction,tourist_attraction,4.9,549,"Lahiru's Place, No 9 Dammissara Road, Dodanduwa",[],google
Dasa Beach View,5.9934074,80.3071104,attraction,tourist_attraction,4.1,19,"05 Matara Road, Habaraduwa",[],google
Parappudūva Island Temple,6.1115676,80.13834250000001,attraction,tourist_attraction,4.8,29,"446Q+J8G, Rathgama",[],google
SP Unawatuna Lodge Guest House,6.005395999999998,80.258941,attraction,cafe,4.5,4,"2745+5H8, Meepegewatta, Maharamba Road, Unawatuna",[],google
Rumassala South Beach,6.018462500000001,80.2354871,attraction,tourist_attraction,4.7,170,"269P+95Q, Unawatuna",[],google
Sithuvili Gallery,6.0257719,80.21882459999999,attraction,art_gallery,4.7,27,"60 Leyn Baan Street, Galle",[],google
BTR SL,6.0367169,80.2090398,attraction,tourist_attraction,4.9,59,"104/1/1 Colombo Road, Galle",[],google
Sholay Villa Galle,6.038945499999999,80.22670699999999,attraction,tourist_attraction,3.9,119,"143 143/12 Abdul Wahab Mawatha, 143/12 Talapitiya Road, Galle",[],google
Ramboda Falls,7.054569199999999,80.705331,attraction,tourist_attraction,4.6,2808,"3P34+R4G, A5, Ramboda",[],google
Hotel Alta Vista,6.873472899999999,81.0480231,attraction,tourist_attraction,4.0,147,"Wellawaya-Ella-Kumbalwela Highway, Ella",[],google
Sigiriya,7.9542748,80.7592244,attraction,tourist_attraction,5.0,1,"Sigiriya Road, Sigiriya",[],google
කැඩපත් පවුර (Mirror Wall),7.9569746,80.7593102,attraction,tourist_attraction,4.3,6,"XQ45+PVF, Sigiriya",[],google
Ritigala Strict Natural Reserve,8.1166667,80.64999999999999,attraction,tourist_attraction,4.7,823,"4J8X+MX9, Palugaswewa",[],google
Pitawala Patana Trail,7.546518000000001,80.746873,attraction,tourist_attraction,4.7,39,"33 Km post, Illukkumbura,, Matale",[],google
Wasgamuwa National Park,7.7532419,80.92077370000001,attraction,tourist_attraction,4.5,979,"QW3C+78R, Nuwaragala",[],google
Nā Uyana Forest Monastery | නා උයන ආරණ්‍ය සේනාසනය,7.7387408,80.51590670000002,attraction,tourist_attraction,4.8,470,"PGQ8+F9V, Polgahangoda",[],google
Dambulla Royal Cave Temple and Golden Temple,7.854914099999999,80.6505699,attraction,tourist_attraction,4.5,13330,"Kandy - Jaffna Highway, Dambulla",[],google
Hotel Sannasa,7.8589127,80.6620717,attraction,tourist_attraction,4.0,353,"1st Post, Kandalama Road, Dambulla",[],google
Hurulu Eco Park - Wild Elephant Safari,8.0584446,80.770258,attraction,tourist_attraction,4.3,576,"trincomalee road, Habarana",[],google
Kashyapa Tours And Travel Sri Lanka,7.947860300000002,80.7414407,attraction,tourist_attraction,5.0,2,"No 207, Sigiriya",[],google
Menikdena Archeological Reserve and Arboretum | මැණික්දෙන පුරාවිද්‍යා රක්ෂිතය සහ වෘක්ෂෝද්‍යානය,7.766630500000001,80.6403223,attraction,tourist_attraction,4.5,83,"QJ8R+M44, Dambulla",[],google
Midigama Right,5.964814599999999,80.38364229999999,attraction,tourist_attraction,4.6,126,Asian Highway 43,[],google
Parewi Duwa Temple,5.941381399999999,80.54925539999999,attraction,tourist_attraction,4.3,917,"Golden Island Pathway, Matara",[],google
Dilana Cab Service & Tours,5.974342,80.42475379999999,attraction,tourist_attraction,5.0,368,"46 Hetti Weediya Weligama 81700 Hetti Weediya, Weligama",[],google
Weherahena Poorwarama Rajamaha Viharaya - Matara | වෙහෙරහේන පුර්වාරාම රජමහා විහාරය - මාතර,5.953037999999999,80.57528599999999,attraction,tourist_attraction,4.6,1652,"Weherahena Road, Matara",[],google
The Shrine of Our Lady of Matara,5.9432239,80.5519762,attraction,tourist_attraction,4.8,1075,"WHV2+7QQ, Matara",[],google
Damro Tea Factory - Labookellie Tea Lounge,7.0240568,80.7193898,attraction,tourist_attraction,4.3,6573,"2PF9+PHR, A5, Labugolla",[],google
Happy Leoni Hotel,8.357708700000002,80.4239316,attraction,tourist_attraction,3.3,284,"Happy Leoni Hote Mihintale, Road, Anuradhapura",[],google
Wilpattu National Park,8.4581819,80.0518306,attraction,tourist_attraction,4.5,2983,Sri Lanka,[],google
Tantirimale Rajamaha Viharaya - තන්තිරිමලේ රජමහා විහාරය,8.5736017,80.2558288,attraction,tourist_attraction,4.7,1298,"H7F4+C8W, Thanthirimale Road, Thanthirimale",[],google
Pankuliya Ashokaramaya (අශෝකාරාමය),8.3854823,80.4102217,attraction,tourist_attraction,4.7,73,"9CP6+53X, Ashokaramaya Road, Anuradhapura",[],google
Ruwanweli Maha Seya,8.349970499999998,80.39615990000001,attraction,tourist_attraction,4.9,16490,"Ruwanweliseya Temple, Abhayawewa Road, Anuradhapura",[],google
Manawila Wildlife Department Bungalow,8.4859286,79.9897653,attraction,tourist_attraction,4.4,16,Sri Lanka,[],google
Samadhi Buddha Statue,8.3698774,80.3981853,attraction,tourist_attraction,4.8,1907,"999X+X73, Anuradhapura",[],google
Hotel Moonstone,8.331613599999999,80.3668866,attraction,tourist_attraction,4.1,240,"Thisawewa Road Pandulagama, Anuradhapura",[],google
Gamodh Citadel Resort - Anuradhapura,8.3640036,80.3646787,attraction,tourist_attraction,4.3,390,"Thanthirimale Road, Lolugaswewa",[],google
Kithul Kanda Mountain Resort,6.858332099999999,80.0973705,attraction,tourist_attraction,4.3,2304,"No. 07, Meepe, Ingiriya Road, Padukka",[],google
Grand Oriental Hotel,6.9373415,79.8449335,attraction,tourist_attraction,4.0,3996,"2 York Street, Colombo",[],google
Haus Chandra Beach Hotel,6.842429699999999,79.86343819999999,attraction,tourist_attraction,4.1,204,"37 Beach Road, Dehiwala-Mount Lavinia",[],google
Malwathu Oya Reservoir Dam,8.3323056,80.39866289999999,attraction,tourist_attraction,4.0,6,"89JX+WF, Anuradhapura",[],google
Dahayyagama junction,8.3287301,80.4075281,attraction,tourist_attraction,4.3,4,"8CH5+F2R, Maithripala Senanayake Mawatha, Anuradhapura",[],google
Malwathu Oya Boat Safari,8.327608999999999,80.397103,attraction,tourist_attraction,5.0,1,"89GX+H46, Anuradhapura",[],google
Kada Panaha Wewa,8.3209999,80.41366599999999,attraction,tourist_attraction,5.0,3,"8CC7+9FV, Anuradhapura",[],google
Musthak recidency,8.323658499999997,80.407516,attraction,tourist_attraction,0.0,0,"8CF4+CX7, Anuradhapura",[],google
Bicycle repair center Anudarapura,8.3155456,80.4143496,attraction,tourist_attraction,0.0,0,"8C87+7JX, Anuradhapura",[],google
Kunbichchan Kulama Wewa - කුම්බිච්චන්කුලම වැව,8.3186338,80.4030367,attraction,tourist_attraction,4.8,4,"Kumbichchan Kulama Tank, Anuradhapura",[],google
Nuwara wewa viewpoint,8.311351799999997,80.4036508,attraction,tourist_attraction,4.7,3,"K8CJ9+4X6, අනුරාධපුර පෞරාණික නගරය",[],google
Orr's Hill Army Museum,8.5695593,81.21330689999999,attraction,museum,4.5,708,"H697+R8F, Trincomalee",[],google
Rawana Abyss,8.582018399999999,81.2453797,attraction,tourist_attraction,4.5,156,"H6JW+R52, Trincomalee",[],google
Guruge Mayan Water Park,7.068894299999999,79.9022359,attraction,tourist_attraction,3.9,512,"3WC3+X77, 266 Road Batagama North, ජා-ඇළ",[],google
Royal Park Land,7.0763357,79.89582899999999,attraction,landmark,4.1,66,"48 Mount Kalvary Road, Ja-Ela",[],google
Silk Route Trails,7.075385,79.8923396,attraction,tourist_attraction,4.0,2,"Suite 02, No.13, Mezzanine Level, Realty Plaza, Ja-Ela",[],google
Miraj Tours & Rent a Car,7.264808999999999,79.89494599999999,attraction,car_rental,4.8,52,"01/01A ""Franklyn"" St.Theresa Rd, Katana North,, Kochchikade",[],google
AxioTravel,7.1530194,79.87205999999999,attraction,tourist_attraction,4.6,5,"124 Negombo Road, Katunayake",[],google
Sri Lanka Travel Partner Travel Agent,7.261181999999998,79.866742,attraction,travel_agency,4.6,26,"The Finanes Waththa, No. 33/2C Thoppuwa, Negombo",[],google
tuktukrental.com (Tuktuk Rental Sri Lanka - Official),7.167506400000001,79.8671325,attraction,travel_agency,4.8,1279,"No 11/A Negombo Road, Katunayake",[],google
St. Anne's Church (Kurana),7.191215400000001,79.86046,attraction,tourist_attraction,4.6,215,"51 Saint Anne's Road, Negombo",[],google
T-TEC Tours,7.205241000000002,79.840689,attraction,tourist_attraction,3.0,3,"35, 36 Greens Road, Negombo",[],google
YAD POINT,8.571040499999999,81.2102944,attraction,tourist_attraction,0.0,0,"H6C6+C47, Trincomalee",[],google
Mud Cove,8.5754519,81.2033569,attraction,tourist_attraction,4.5,4,"Cod bay, Trincomalee",[],google
Seaview infront of School,8.5754232,81.2254731,attraction,tourist_attraction,5.0,1,"infront of Sinhala central college, Trincomalee",[],google
Lake side cabana,8.5742414,81.2205383,attraction,tourist_attraction,5.0,1,"6th mail post, 6th Lane, Trincomalee",[],google
City Centre,8.5813295,81.2273499,attraction,tourist_attraction,2.0,1,"345 Main Street, Trincomalee",[],google
திருகோணமலை நகர கடற்கரை | ත්‍රිකුණාමලය නගර වෙරළ තීරය | Trincomalee Town Beach,8.5973769,81.2232059,attraction,tourist_attraction,4.4,203,Trincomalee,[],google
Shymi Pigeon Island & whale Watching,8.5918026,81.22513070000001,attraction,tourist_attraction,2.5,2,"Thirukkadaloor, Krishnapuri, Trincomalee",[],google
Green Bay Beach,8.587363800000002,81.2152121,attraction,tourist_attraction,5.0,2,"Easter Naval Command Headquarters, Trincomalee",[],google
Aqua Creed,8.680864999999999,81.20116,attraction,tourist_attraction,4.9,15,"8.680865, 81.201160",[],google
Velgam Vehera Buddhist Temple | වෙල්ගම් වෙහෙර,8.6471866,81.1696845,attraction,tourist_attraction,4.6,311,Vilgam Vihara Road,[],google
Commonwealth WAR Cemetery,8.615208299999999,81.2134641,attraction,museum,4.6,38,"J687+39P, Nilaveli Road, Trincomalee",[],google
Ceylon Wonders,7.164370799999999,80.57588129999999,attraction,tourist_attraction,4.0,7,"I52/1/1 Illawatura Road, Gampola",[],google
Kirindi Ella Waterfall,6.6419593,80.5639401,attraction,tourist_attraction,4.7,381,"Kuttapitiya, Pelmadulla",[],google
Batadombalena,6.776506499999999,80.3959493,attraction,tourist_attraction,4.5,240,"Q9GW+J94, Kuruwita",[],google
Laxapana Falls,6.899600700000001,80.50104089999999,attraction,tourist_attraction,4.7,1127,"Laxapana Falls, Laxapana",[],google
Hotel Casamara Kandy,7.2935149,80.6372217,attraction,tourist_attraction,4.1,655,"12 East L Senanayake Veediya, Kandy",[],google
Isha Water Park and rooms,8.6049322,81.21769619999999,attraction,tourist_attraction,3.5,142,Trincomalee,[],google
Kottagala Mohideen Jumma Masjid,6.924072999999999,80.6060729,attraction,mosque,4.0,24,"WJF4+JCG, Kotagala",[],google
Sathmahal Prasadaya (සත්මහල් ප්‍රාසාදය) - 51,7.947952399999999,81.0018178,attraction,tourist_attraction,4.8,97,"W2X2+5PP, Polonnaruwa",[],google
1st canel jumping pot,7.941499899999999,81.0003019,attraction,tourist_attraction,3.0,3,"W2V5+5PM, Polonnaruwa",[],google
Risky Swamp,7.951202899999999,81.01200949999999,attraction,tourist_attraction,3.0,1,"W2V5+5PM, Polonnaruwa",[],google
Bimbuthuraawa,7.940312499999999,81.0188125,attraction,tourist_attraction,4.4,5,"W2R9+4G, Polonnaruwa",[],google
Maduru Oya National Park,7.647635600000001,81.1868215,attraction,tourist_attraction,4.4,724,Manampitiya-Aralaganwila-Maduru Oya Rd,[],google
Somawathiya National Park,8.169255900000001,81.20781640000001,attraction,tourist_attraction,4.5,692,"5695+P44, Gangapahalavila",[],google
Ibankatuwa Tanke,7.869492800000001,80.6356519,attraction,tourist_attraction,0.0,0,"VJ9P+Q7R, Ibbankatuwa Tank Road, Dambulla",[],google
Salu Apullana Wewa Lake,7.8663483,80.6428114,attraction,tourist_attraction,0.0,0,"VJ8V+PCJ, Dambulla",[],google
Dambulla,7.874217000000001,80.6511287,attraction,tourist_attraction,0.0,0,"VMF2+MFJ, Dambulla",[],google
Yapahuwa Rock Fortress,7.8169688,80.3110686,attraction,tourist_attraction,4.7,1880,"R886+QCP, Maho",[],google
The Elephant Freedom Project,7.2671311,80.3806184,attraction,tourist_attraction,4.6,910,"Karandupona-Rambukkna Road, Hiriwadunna",[],google
Udawatta Kele Sanctuary,7.2988782,80.6424033,attraction,zoo,4.4,3106,"Forest Department Office, Sangamitta Mawatha, Kandy",[],google
Kandyan Cultural Centre,7.2920019,80.6423871,attraction,tourist_attraction,4.5,1084,"72 Sangaraja Mawatha, Kandy",[],google
Corbett's Gap අට්ටාලවෙට්ටුව,7.372764600000002,80.84087850000002,attraction,tourist_attraction,4.6,286,Hunnasgiriya - Meemure Road,[],google
Pinnawala Elephant Orphanage,7.3008545,80.38885499999999,attraction,zoo,3.9,3080,Rambukkana,[],google
Gem Museum,6.912143,79.852988,attraction,jewelry_store,4.0,215,"43 Ananda Coomaraswamy Mawatha, Colombo",[],google
Tea Breeze Cafe at Beira Lake,6.9164175,79.8527841,attraction,cafe,3.9,96,"B, 18 Perahera Mawatha, Colombo",[],google
